Cycle,PID,Title,PI,Institution,Configuration,UV,Filter,Science Mode,Prime Orbits,Targets,Sub-science theme,Comment
31,17418,"Upon Reflection: Unveiling a Cloud Transition with a High-Precision
Reflected Light Spectrum","Batalha, Natasha",NASA AMES,WFC3/UVIS,Yes,G280,Spectroscopic,20,WASP-69b,Secondary Eclipses,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,F218W,Photometric,1,YZ CMI,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,FQ232N,Photometric,1,YZ CMI,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,FQ243N,Photometric,1,YZ CMI,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,F218W,Photometric,1,YZ CMI,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,FQ232N,Photometric,1,YZ CMI,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,FQ243N,Photometric,1,YZ CMI,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,F218W,Photometric,1,AD Leo,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,FQ232N,Photometric,1,AD Leo,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,WFC3/UVIS,Yes,FQ243N,Photometric,1,AD Leo,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/FUV,Yes,G130M,Spectroscopic,8,AD Leo,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/FUV,Yes,G160M,Spectroscopic,8,AD Leo,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/NUV,Yes,G185M,Spectroscopic,8,AD Leo,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/FUV,Yes,G130M,Spectroscopic,8,Au Mic,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/FUV,Yes,G160M,Spectroscopic,8,Au Mic,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/NUV,Yes,G185M,Spectroscopic,8,Au Mic,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/FUV,Yes,G130M,Spectroscopic,8,Au Mic,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/FUV,Yes,G160M,Spectroscopic,8,Au Mic,Stellar Characterization,
31,17428,"The M dwarf FUV Continuum: A Missing Driver of Atmospheric Hazes in
Exoplanet Atmospheres","France, Kevin",University of Colorado at Boulder,COS/NUV,Yes,G185M,Spectroscopic,8,Au Mic,Stellar Characterization,
31,17460,Heavy metals escaping from a hot Neptune,"Oklopcic, Antonija",Universiteit van Amsterdam,STIS/NUV-MAMA,Yes,E230M,Spectroscopic,15,LTT 9779b ,Transmission Spectroscopy,Ly-Alpha variability
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17468,Space weather on GJ 436 b,"Schneider, Christian","Universitat Hamburg, Hamburger Sternwarte",STIS/FUV-MAMA,Yes,G140M,Spectroscopic,3,GJ 436 b,Transmission Spectroscopy,
31,17482,Probing active atmospheric erosion across an adolescent planet system,": Zhou, George",University of Southern Queensland,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,5,TOI-2076b,Transmission Spectroscopy,
31,17482,Probing active atmospheric erosion across an adolescent planet system,": Zhou, George",University of Southern Queensland,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,5,TOI-2076b,Transmission Spectroscopy,
31,17482,Probing active atmospheric erosion across an adolescent planet system,": Zhou, George",University of Southern Queensland,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,5,TOI-2076c,Transmission Spectroscopy,
31,17482,Probing active atmospheric erosion across an adolescent planet system,": Zhou, George",University of Southern Queensland,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,5,TOI-2076c,Transmission Spectroscopy,
31,17489,Hunting for Hazes in the Atmosphere of a Warm Super-Puff,"Vissapragada, Shreyas",Harvard and Smithsonian Center for Astrophysics,WFC3/UVIS,Yes,G280,Spectroscopic,10,TOI-1420b,Transmission Spectroscopy,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G130M,Spectroscopic,10,TOI-1468,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G160M,Spectroscopic,10,TOI-1468,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/NUV,Yes,G230L,Spectroscopic,10,TOI-1468,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/NUV-MAMA,Yes,G230L,Spectroscopic,1,TOI-1468,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/CCD,Yes,G430L,Spectroscopic,1,TOI-1468,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G130M,Spectroscopic,10,LHS-1478,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G160M,Spectroscopic,10,LHS-1478,Stellar Characterization,
